Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST001247		biomarker	ldl
GCST001247		biomarker	triglyceride
GCST001247		biomarker	uric acid
GCST001247	C537417	biomarker	butyrylcholinesterase
GCST001248		phenotype	pulmonary function
GCST001249		phenotype	bone size (spine)
GCST001251		phenotype	pulmonary function
GCST001252		response	glucocorticoid
GCST001256		side effect	surgery
GCST001259		response	lithium treatment
GCST001262		biomarker	ldl
GCST001264		biomarker	testosterone
GCST001269		biomarker	uric acid
GCST001271		side effect	antipsychotic for schizophrenia
GCST001272		phenotype	antibody response
GCST001273		biomarker	lppla2
GCST001275		biomarker	gpt
GCST001276		biomarker	alkaline phosphatase
GCST001277		biomarker	gamma-glutamyl transferase
GCST001280		phenotype	age of onset
GCST001282		background	alzheimer's disease
GCST001285		phenotype	psychosis and alzheimer's disease
GCST001289		biomarker	total cholesterol
GCST001291		side effect	oxaliplatin for colon cancer
GCST001298		background	er-negative
GCST001298		stratified	ER-negative
GCST001300		background	non-cardia
GCST001300		stratified	non-cardia
GCST001303		phenotype	ige grass sensitization
GCST001304		phenotype	renal sinus adipose tissue
GCST001307		biomarker	gamma-glutamyl transferase
GCST001308		response	anti-depressant treatment
GCST001308		response	bupropion
GCST001308		response	citalopram
GCST001308		response	sertraline
GCST001308		response	venlafaxine
GCST001310		phenotype	allergic rhinitis
GCST001313		background	depression
GCST001314		biomarker	adipoq
GCST001315		phenotype	femoral neck bone geometry
GCST001316		biomarker	ige
GCST001317		phenotype	carotid-femoral pulse wave velocity
GCST001318		biomarker	ceruloplasmin
GCST001320		background	childhood
GCST001320		stratified	childhood
GCST001323		background	nodular sclerosis
GCST001323		stratified	nodular sclerosis
GCST001324		biomarker	bilirubin
GCST001325		response	pegylated interferon-alpha and ribavirin therapy
GCST001327		phenotype	memory performance
GCST001333		biomarker	bilirubin
GCST001335		phenotype	mean platelet volume
GCST001336		phenotype	menarche and menopause (age at onset)
GCST001339		phenotype	corneal
GCST001344	C537770	phenotype	testicular dysgenesis syndrome
GCST001346		response	gemcitabine
GCST001346		treatment response	gemcitabine
GCST001347		phenotype	calcification
GCST001349		background, phenotype	infant head circumference
GCST001352		phenotype	setpoint viral load
GCST001353		phenotype	susceptibility
GCST001354		phenotype	heart rate
GCST001357		response	tamoxifen
GCST001357		treatment response	adjuvant tamoxifen therapy
GCST001361		phenotype	ankle brachial index
GCST001362		phenotype	non-obstructive
GCST001365		biomarker	protein c
GCST001365		biomarker	protein s
GCST001367		biomarker	triglyceride
GCST001368		side effect	capecitabine
GCST001370		interaction or exposure	Snp-SNP interactions
GCST001370		interaction	snp x snp
GCST001371		response	fenofibrate, inflammatory biomarkers
GCST001373		phenotype	survival
GCST001373		phenotype	survival time
GCST001373		survival	
GCST001374		biomarker	uric acid
GCST001378		biomarker	protein c
GCST001378		biomarker	protein s
GCST001381		phenotype	age at onset
GCST001385		biomarker	ccl2
GCST001385		biomarker	c-reactive protein
GCST001385		biomarker	interleukin-6
GCST001390		response	gemcitabine
GCST001390		treatment side effect	pancreatic cancer - gemcitabine (hematological toxicities)
GCST001391		biomarker	metabolite
GCST001392		phenotype	lipid metabolism phenotypes
GCST001393		biomarker	glycated hemoglobin levels
GCST001399		phenotype	infantile
GCST001402		response	epirubicin
GCST001403		response	5' fluorouracil
GCST001405		background	short sleep duration
GCST001408		response, biomarker	statin, ldl
GCST001409		interaction	snp x snp
GCST001410		phenotype	tpe interval
GCST001411		interaction, phenotype	total cortical area, occipital cortical area
GCST001412		phenotype	facial morphology
GCST001413		biomarker	sphingolipid
GCST001414		biomarker	phospholipid
GCST001416		interaction	snp x snp
GCST001418		background	hepatitis c treatment
GCST001421		biomarker	urinary arsenic
GCST001424		biomarker	vitamin b12
GCST001425		response	atorvastatin
GCST001426		interaction	snp x snp
GCST001427		phenotype	nicotine dependence
GCST001431		side effect	lamotrigine and phenytoin
GCST001434		biomarker	naphthyl-keratin adduct
GCST001435		biomarker	haptoglobin
GCST001437		phenotype	thyrotoxic
GCST001439		phenotype	mean platelet volume
GCST001440		response, phenotype, biomarker	psychopharmacological treatment, bmi, cholesterol
GCST001442		phenotype	orofacial cleft
GCST001444		phenotype	fev1
GCST001444		phenotype	fev1/fec ratio
GCST001446		phenotype	white matter integrity
GCST001450		response	vitamin e supplementation
GCST001452		phenotype	pemphigus vulgaris
GCST001453		side effect	ssri/snri-related
GCST001458		phenotype	treatment refractory
GCST001462		phenotype	brachial circumference
GCST001463		biomarker	adipoq
GCST001465		biomarker	adipoq
GCST001468		background	cystic fibrosis
GCST001471		phenotype	alcohol and nicotine co-dependence
GCST001472		biomarker	c-reactive protein
GCST001473		phenotype	crohn's disease
GCST001476		response	tocilizumab
GCST001477		phenotype	female
GCST001478		biomarker	circulating cell-free dna
GCST001479		phenotype	autoantibody type 1 diabetes
GCST001480		biomarker	matrix metalloproteinase
GCST001481		phenotype	hippocampal volume
GCST001481		phenotype	intracranial volume
GCST001482		phenotype	spine bmd (lumbar)
GCST001483		phenotype	intracranial volume
GCST001484		background, phenotype	infant head circumference
GCST001485		phenotype	hippocampal volume
GCST001487		phenotype	thyroid function
GCST001490		phenotype	nicotine dependence
GCST001491		response, biomarker	smallpox vaccine, il-6
GCST001494		phenotype	non-obstructive
GCST001496		biomarker	alb
GCST001496		biomarker	protein
GCST001496		biomarker	serum non-albumin protein
GCST001497		background, phenotype	sickle cell anemia, related traits
GCST001501		phenotype	platelet thrombus formation
GCST001502		phenotype	childhood onset
GCST001503		background, phenotype	alcoholism, frontal theta oscillation
GCST001507		phenotype	hair color
GCST001510		response	tnf-alpha inhibitors
GCST001511		phenotype	economic and political preferences (time)
GCST001512		phenotype	economic and political preferences (environmentalism)
GCST001513		phenotype	economic and political preferences (fairness)
GCST001514		phenotype	economic and political preferences (feminism/equality)
GCST001515		phenotype	economic and political preferences (immigration/crime)
GCST001517		side effect	antipsychotic drug
GCST001518		response	candesartan
GCST001519		phenotype	economic and political preferences
GCST001520		response	candesartan
GCST001521		phenotype	subcutaneous adipose tissue
GCST001522		phenotype	pericardial adipose tissue
GCST001523		phenotype	visceral adipose tissue, bmi adjusted
GCST001524		phenotype	visceral:subcutaneous adipose tissue ratio
GCST001525		phenotype	visceral adipose tissue
GCST001526		interaction	body mass index
GCST001527		interaction	body mass index
GCST001528		response	antidepressants
GCST001530		phenotype	hippocampal atrophy
GCST001532		response, biomarker	smallpox vaccine, il-6
GCST001533		response, biomarker	smallpox vaccine, il-1beta
GCST001534		response, biomarker	smallpox vaccine, il-10
GCST001535		response, biomarker	smallpox vaccine, il-2
GCST001536		response, biomarker	smallpox vaccine, tnf-alpha
GCST001537		response, biomarker	smallpox vaccine, il-12p40
GCST001538		response, biomarker	smallpox vaccine, ifn-alpha
GCST001540		phenotype	male fertility
GCST001543		interaction	asbestos exposure
GCST001543		interaction or exposure	asbestos
GCST001545		interaction	pravastatin
GCST001546		phenotype	motor and cognition
GCST001547		response	anthrax vaccine
GCST001549		phenotype	formal thought disorder
GCST001551		phenotype	amygdala reactivity
GCST001552		phenotype	central corneal thickness
GCST001553		background, biomarker	in postmenopausal women, estradiol
GCST001553		biomarker	in postmenopausal women
GCST001554		biomarker	shgb
GCST001555		biomarker	testosterone
GCST001558		response	irinotecan
GCST001558		treatment side effect	advanced non-small-cell lung cancer - irinotecan (severe toxicity)
GCST001560		biomarker	vitamin d
GCST001561		phenotype	pathological
GCST001566		interaction	sex
GCST001567		phenotype	schizophrenia and bipolar disorder
GCST001568		phenotype	severity
GCST001572		background	type 1 diabetes
GCST001573		phenotype	prothrombin time
GCST001574		phenotype	partial thromboplastin time
GCST001575		biomarker	factor xi
GCST001577		phenotype	cnv vs ga
GCST001579		phenotype	choroidal neovascularisation
GCST001580		phenotype	qt interval
GCST001582		phenotype	viral clearance
GCST001584		background	lean body mass and age at menarche (combined)
GCST001585		phenotype	breast size
GCST001586		phenotype	caffeine-induced
GCST001588		phenotype	microbiota
GCST001591		response	citalopram
GCST001593		phenotype	cortical thickness
GCST001597		response	bronchodilator
GCST001600		biomarker	igg
GCST001604		biomarker	fasting blood insulin
GCST001605		phenotype, biomarker	wbc count and c-reactive protein
GCST001606		biomarker	scr
GCST001607		biomarker	egrf crea
GCST001608		biomarker	uric acid
GCST001610		phenotype	bun
GCST001612		biomarker	shgb
GCST001614		phenotype	central corneal thickness
GCST001615		phenotype	sclerosing cholangitis and ulcerative colitis
GCST001616		phenotype	cannabis use (initiation)
GCST001620		biomarker	resistin
GCST001621		phenotype	airflow obstruction
GCST001623		background	hepatitis c infection
GCST001624		side effect	paclitaxel
GCST001626		biomarker	iga
GCST001627		phenotype	thyrotoxic
GCST001628		phenotype	orofacial cleft
GCST001629		response	platinum-based chemotherapy
GCST001629		treatment response	platinum-based chemotherapy
GCST001632		response	fenofibrate
GCST001639		phenotype	calcification
GCST001640		phenotype	lentiform nucleus
GCST001641		response	antidepressants
GCST001642		biomarker	serpina12
GCST001643		phenotype	age of onset
GCST001645		biomarker	ldl
GCST001649		phenotype	primary angle closure
GCST001650		biomarker	c-reactive protein
GCST001651		background	healthy volunteers
GCST001653		biomarker	dihydrotestosterone
GCST001653		biomarker	testosterone
GCST001658		phenotype	late onset
GCST001659		phenotype	ischemic stroke
GCST001661		biomarker	cyp3a4
GCST001662		phenotype	generalized
GCST001663		phenotype	age of onset
GCST001667		background	hormone receptor-positive
GCST001667		stratified	hormone receptor-positive
GCST001671		biomarker	igg
GCST001672		interaction	alcohol
GCST001672		interaction or exposure	alcohol
GCST001673		side effect	drug
GCST001677		biomarker	paraoxonase activity
GCST001678		phenotype	facial morphology
GCST001679		biomarker	complement c3
GCST001679		biomarker	complement c4
GCST001680		phenotype	corneal curvature
GCST001684		biomarker	plasminogen activator inhibitor 1
GCST001687		phenotype	disc degeneration (lumbar)
GCST001688		background	type 1 diabetes
GCST001689		phenotype	pediatric
GCST001691		biomarker	ccl2
GCST001692		response	docetaxel
GCST001693		background	childhood
GCST001693		stratified	childhood
GCST001694		response	paclitaxel
GCST001695		phenotype	negative mood delusions
GCST001698		phenotype	total protein
GCST001699		biomarker	alb
GCST001700		side effect	radiotherapy for prostate cancer
GCST001703		biomarker	apolipoprotein
GCST001704		biomarker	cholesterol and triglycerides
GCST001705		phenotype	platelet reactivity
GCST001706		phenotype	ischemic stroke
GCST001710		biomarker	hba2
GCST001711		biomarker	protein
GCST001712		phenotype	pathological
GCST001715		phenotype	with mood-incongruent psychosis
GCST001716		response	simvastatin
GCST001717		phenotype	chronic/recurrent
GCST001718		phenotype	lung cancer, gastric cancer, and squamous cell carcinoma
GCST001721		phenotype	dna repair capacity
GCST001721		stratified	lung cancer
GCST001722		phenotype	lean body mass
GCST001724		biomarker	igm
GCST001726		response, biomarker	rosuvastatin, lppla2
GCST001727		biomarker	lppla2
GCST001730		response	temozolomide
GCST001731		interaction	environment
GCST001735		phenotype	pr interval
GCST001736		background	type 2 diabetes
GCST001737		background, biomarker	copd, tnf
GCST001737		biomarker	c-reactive protein measurement
GCST001737		biomarker	fibrinogen measurement
GCST001737		biomarker	interleukin-6
GCST001737		biomarker	interleukin-8 measurement
GCST001737		biomarker	surfactant protein d
GCST001738		response	fenofibrate, adiponectin levels
GCST001739		biomarker	ige
GCST001744		drug metabolism	tamsulosin hydrochloride
GCST001746		phenotype	qt interval
GCST001748		phenotype	resting heart rate
GCST001749		survival stratified	adenocarcinoma
GCST001751		response	opiate
GCST001753		interaction	alcohol intake
GCST001754		interaction	smoking (ever vs never)
GCST001755		side effect	paclitaxel
GCST001756		phenotype	bone size (spine)
GCST001760		phenotype	white matter integrity
GCST001762		biomarker	adipoq
GCST001762		biomarker	antioxidant
GCST001762		biomarker	aspartate aminotransferase
GCST001762		biomarker	aspartate aminotransferase, alanine aminotransferase
GCST001762		biomarker	ccl11
GCST001762		biomarker	ccl2
GCST001762		biomarker	ccl5
GCST001762		biomarker	cortisol secretion
GCST001762		biomarker	c-peptide
GCST001762		biomarker	c-reactive protein
GCST001762		biomarker	estradiol
GCST001762		biomarker	fasting blood insulin
GCST001762		biomarker	fatty acid measurement
GCST001762		biomarker	folic acid
GCST001762		biomarker	gpt
GCST001762		biomarker	hdl
GCST001762		biomarker	hdl, triglyceride
GCST001762		biomarker	homocysteine
GCST001762		biomarker	hormone
GCST001762		biomarker	icam-1
GCST001762		biomarker	igf-1
GCST001762		biomarker	igfbp-1
GCST001762		biomarker	igfbp-3
GCST001762		biomarker	interleukin-6
GCST001762		biomarker	ldl
GCST001762		biomarker	leptin
GCST001762		biomarker	testosterone
GCST001762		biomarker	tgfb1
GCST001762		biomarker	tnf
GCST001762		biomarker	total cholesterol
GCST001762		biomarker	triglyceride
GCST001762		biomarker	tshb
GCST001762		biomarker	urinary metabolite
GCST001762		biomarker	urinary nitrogen
GCST001762		biomarker	vitamin b12
GCST001762		phenotype	arm span
GCST001762		phenotype	bmd
GCST001762		phenotype	head circumference
GCST001762		phenotype	heart rate
GCST001762		phenotype	hip circumference
GCST001762		phenotype	homeostasis model assessment of insulin resistance adjusted for bmi
GCST001762		phenotype	insulin sensitivity
GCST001762		phenotype	lean body mass
GCST001762		phenotype	maximal oxygen uptake response
GCST001762		phenotype	metabolic rate
GCST001762		phenotype	obesity-related traits
GCST001762		phenotype	physical activity
GCST001762		phenotype	related traits
GCST001762		phenotype	respiratory quotient
GCST001764		interaction, phenotype	bipolar disorder risk, white matter integrity
GCST001765		biomarker	hemoglobin
GCST001765		phenotype	mean corpuscular hemoglobin
GCST001765		phenotype	mean corpuscular hemoglobin concentration
